  0%|                                                                 | 0/500 [00:00<?, ?it/s]Passing `generation_config` together with generation-related arguments=({'disable_compile'}) is deprecated and will be removed in future versions. Please pass either a `generation_config` object OR all generation parameters explicitly, but not both.
                                                                                              
{'loss': '4.108e-05', 'grad_norm': '0.0006371', 'learning_rate': '9.98e-06', 'num_tokens': '9264', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.4', 'rewards/reward_func/std': '0', 'reward': '0.4', 'reward_std': '0', 'frac_reward_zero_std': '1', 'kl': '0.001027', 'entropy': '1.598', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '54.44', 'epoch': '0.004'}
{'loss': '4.879e-05', 'grad_norm': '0.1514', 'learning_rate': '9.94e-06', 'num_tokens': '1.792e+04', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.3375', 'rewards/reward_func/std': '0.075', 'reward': '0.3375', 'reward_std': '0.075', 'frac_reward_zero_std': '0', 'kl': '0.001215', 'entropy': '1.677', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '53.05', 'epoch': '0.008'}
{'loss': '5.925e-05', 'grad_norm': '0.1514', 'learning_rate': '9.9e-06', 'num_tokens': '2.66e+04', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.3', 'rewards/reward_func/std': '0.1457', 'reward': '0.3', 'reward_std': '0.1457', 'frac_reward_zero_std': '0', 'kl': '0.001478', 'entropy': '1.341', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '53.3', 'epoch': '0.012'}
{'loss': '6.112e-05', 'grad_norm': '0.1377', 'learning_rate': '9.86e-06', 'num_tokens': '3.408e+04', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.3125', 'rewards/reward_func/std': '0.1479', 'reward': '0.3125', 'reward_std': '0.1479', 'frac_reward_zero_std': '0', 'kl': '0.00153', 'entropy': '1.777', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '52.9', 'epoch': '0.016'}
{'loss': '6.455e-05', 'grad_norm': '0.1406', 'learning_rate': '9.82e-06', 'num_tokens': '4.123e+04', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.275', 'rewards/reward_func/std': '0.1655', 'reward': '0.275', 'reward_std': '0.1655', 'frac_reward_zero_std': '0', 'kl': '0.001611', 'entropy': '1.484', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '52.86', 'epoch': '0.02'}
{'loss': '-0.07849', 'grad_norm': '0.125', 'learning_rate': '9.78e-06', 'num_tokens': '4.988e+04', 'completions/mean_length': '487', 'completions/min_length': '412', 'completions/max_length': '512', 'completions/clipped_ratio': '0.875', 'completions/mean_terminated_length': '156', 'completions/min_terminated_length': '156', 'completions/max_terminated_length': '156', 'rewards/reward_func/mean': '0.2875', 'rewards/reward_func/std': '0.1946', 'reward': '0.2875', 'reward_std': '0.1946', 'frac_reward_zero_std': '0', 'kl': '0.002041', 'entropy': '1.126', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '53.99', 'epoch': '0.024'}
{'loss': '9.225e-05', 'grad_norm': '0.001045', 'learning_rate': '9.74e-06', 'num_tokens': '5.96e+04', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.35', 'rewards/reward_func/std': '0.1', 'reward': '0.35', 'reward_std': '0.1', 'frac_reward_zero_std': '0.5', 'kl': '0.002306', 'entropy': '1.672', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '54.86', 'epoch': '0.028'}
{'loss': '0.000109', 'grad_norm': '0.1514', 'learning_rate': '9.7e-06', 'num_tokens': '7.052e+04', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.3875', 'rewards/reward_func/std': '0.025', 'reward': '0.3875', 'reward_std': '0.025', 'frac_reward_zero_std': '0.5', 'kl': '0.002728', 'entropy': '1.709', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '57.33', 'epoch': '0.032'}
{'loss': '0.0001257', 'grad_norm': '0.1543', 'learning_rate': '9.66e-06', 'num_tokens': '7.802e+04', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.3875', 'rewards/reward_func/std': '0.025', 'reward': '0.3875', 'reward_std': '0.025', 'frac_reward_zero_std': '0.5', 'kl': '0.003143', 'entropy': '1.604', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '54.19', 'epoch': '0.036'}
{'loss': '0.03723', 'grad_norm': '0.1689', 'learning_rate': '9.62e-06', 'num_tokens': '8.8e+04', 'completions/mean_length': '478.9', 'completions/min_length': '379.5', 'completions/max_length': '512', 'completions/clipped_ratio': '0.875', 'completions/mean_terminated_length': '123.5', 'completions/min_terminated_length': '123.5', 'completions/max_terminated_length': '123.5', 'rewards/reward_func/mean': '0.375', 'rewards/reward_func/std': '0.05', 'reward': '0.375', 'reward_std': '0.05', 'frac_reward_zero_std': '0.5', 'kl': '0.002718', 'entropy': '1.589', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '56.54', 'epoch': '0.04'}
{'loss': '0.0001371', 'grad_norm': '0.1523', 'learning_rate': '9.58e-06', 'num_tokens': '9.601e+04', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.3', 'rewards/reward_func/std': '0.1246', 'reward': '0.3', 'reward_std': '0.1246', 'frac_reward_zero_std': '0', 'kl': '0.003424', 'entropy': '1.445', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '54.62', 'epoch': '0.044'}
